frame,timestamp,confidence,AU04_c,AU12_c,AU15_c,AU01_r,AU04_r,AU06_r,AU12_r,AU15_r,AU17_r
1,0.0,0.969434,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0333333,0.969663,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0666667,0.970244,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1,0.968316,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.133333,0.966639,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.166667,0.967954,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2,0.973331,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.233333,0.973656,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.266667,0.974818,1,1,0,0.667737,0.0,0.0,0.0,0.0,0.0
10,0.3,0.971385,1,1,0,0.757207,0.0,0.0,0.0,0.582537,0.0
11,0.333333,0.972621,1,1,0,0.676139,0.0,0.0,0.0,0.0,0.0
12,0.366667,0.967257,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4,0.967652,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.433333,0.96389,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.466667,0.967244,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.5,0.964819,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.533333,0.965377,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.566667,0.966493,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.6,0.965613,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
20,0.633333,0.963907,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.666667,0.964942,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.7,0.963238,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.733333,0.963701,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.766667,0.957749,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
25,0.8,0.962524,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
26,0.833333,0.963417,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
27,0.866667,0.961127,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.9,0.96075,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.933333,0.962101,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.966667,0.956823,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,0.960018,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.03333,0.959971,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.06667,0.9571,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.1,0.955745,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.13333,0.954709,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.16667,0.959519,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.2,0.959207,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.23333,0.963011,0,1,0,0.0,0.0,0.0,0.0,0.524359,0.0
39,1.26667,0.96187,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
40,1.3,0.958271,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.33333,0.957768,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.36667,0.956526,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.4,0.970649,1,1,0,0.952915,0.0,0.0,0.0,0.0,0.0
44,1.43333,0.966406,1,1,0,0.503407,0.0,0.0,0.539489,0.0,0.0
45,1.46667,0.964159,1,1,0,0.768446,0.0,0.0,0.0,0.0,0.0
46,1.5,0.962842,1,1,0,0.940607,0.0,0.0,0.0,0.0,0.592579
47,1.53333,0.972612,0,1,0,0.991384,0.0,0.0,0.0,0.0,0.0
48,1.56667,0.970756,0,1,0,0.989532,0.0,0.0,0.0,0.0,0.0
49,1.6,0.972433,1,1,0,1.11626,0.0,0.0,0.0,0.515653,0.0
50,1.63333,0.979725,0,1,0,1.39625,0.0,0.0,0.0,0.562066,0.0
51,1.66667,0.974727,0,1,0,2.06651,0.0,0.0,0.0,0.0,0.547557
52,1.7,0.972523,0,1,0,2.43314,0.0,0.0,0.0,0.0,0.604092
